,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
77,2020-03-18,30366.82600046704,26005.257030828114,30844.11406931917,30366.82600046704,30366.82600046704,-1659.1291157294515,-1659.1291157294515,-1659.1291157294515,-1659.1291157294515,-1659.1291157294515,-1659.1291157294515,0.0,0.0,0.0,28707.69688473759
78,2020-03-19,31854.41041032979,30818.034627056062,35893.53897169515,31854.410410329787,31854.410410329787,1995.3927027325042,1995.3927027325042,1995.3927027325042,1995.3927027325042,1995.3927027325042,1995.3927027325042,0.0,0.0,0.0,33849.80311306229
79,2020-03-20,33341.99482019258,33728.77361019231,39198.82281314141,33341.99482019258,33341.99482019258,2776.8088374205295,2776.8088374205295,2776.8088374205295,2776.8088374205295,2776.8088374205295,2776.8088374205295,0.0,0.0,0.0,36118.80365761311
80,2020-03-21,34829.57923005535,36861.42398257649,42184.51359927449,34829.57923005535,34829.57923005535,4688.981465966354,4688.981465966354,4688.981465966354,4688.981465966354,4688.981465966354,4688.981465966354,0.0,0.0,0.0,39518.560696021705
81,2020-03-22,36317.16363991814,36719.6441227292,42183.98276472674,36317.16363991814,36317.16363991814,2834.6951470661006,2834.6951470661006,2834.6951470661006,2834.6951470661006,2834.6951470661006,2834.6951470661006,0.0,0.0,0.0,39151.85878698424
82,2020-03-23,37804.748049780894,31192.00589348385,36555.3239574183,37804.748049780894,37804.748049780894,-4367.9649144237055,-4367.9649144237055,-4367.9649144237055,-4367.9649144237055,-4367.9649144237055,-4367.9649144237055,0.0,0.0,0.0,33436.78313535719
83,2020-03-24,39292.33246233683,30280.311681927742,35920.99392312326,39292.33246233683,39292.33246233683,-6268.784123021913,-6268.784123021913,-6268.784123021913,-6268.784123021913,-6268.784123021913,-6268.784123021913,0.0,0.0,0.0,33023.54833931492
84,2020-03-25,40779.916874892755,35711.79567465237,41044.76965832941,40779.916874892755,40779.916874892755,-1659.1291157478345,-1659.1291157478345,-1659.1291157478345,-1659.1291157478345,-1659.1291157478345,-1659.1291157478345,0.0,0.0,0.0,39120.78775914492
85,2020-03-26,42267.501287448686,41625.31001390795,47358.763643738996,42267.501287448686,42267.501287448686,1995.3927027325078,1995.3927027325078,1995.3927027325078,1995.3927027325078,1995.3927027325078,1995.3927027325078,0.0,0.0,0.0,44262.89399018119
86,2020-03-27,43755.08570000462,44145.93795509849,49362.63590468545,43755.08570000462,43755.08570000462,2776.8088374218364,2776.8088374218364,2776.8088374218364,2776.8088374218364,2776.8088374218364,2776.8088374218364,0.0,0.0,0.0,46531.89453742646
87,2020-03-28,45242.67011256056,47500.97793509005,52718.98577900311,45242.67011256056,45242.67011256056,4688.981465966999,4688.981465966999,4688.981465966999,4688.981465966999,4688.981465966999,4688.981465966999,0.0,0.0,0.0,49931.65157852756
88,2020-03-29,46730.2545251165,46630.69279122085,51845.712949871835,46730.2545251165,46730.2545251165,2834.6951470622257,2834.6951470622257,2834.6951470622257,2834.6951470622257,2834.6951470622257,2834.6951470622257,0.0,0.0,0.0,49564.94967217872
89,2020-03-30,48194.18581682054,41234.67067565606,46095.18051266419,48194.18581682054,48194.18581682054,-4367.964914429002,-4367.964914429002,-4367.964914429002,-4367.964914429002,-4367.964914429002,-4367.964914429002,0.0,0.0,0.0,43826.22090239154
90,2020-03-31,49658.117108524566,40900.759367574545,46297.73005966043,49658.117108524566,49658.117108524566,-6268.784123030021,-6268.784123030021,-6268.784123030021,-6268.784123030021,-6268.784123030021,-6268.784123030021,0.0,0.0,0.0,43389.33298549455
91,2020-04-01,51122.04840022861,46645.19162430719,51474.5684929261,51122.04840022861,51122.04840022861,-1659.1291157437338,-1659.1291157437338,-1659.1291157437338,-1659.1291157437338,-1659.1291157437338,-1659.1291157437338,0.0,0.0,0.0,49462.91928448487
92,2020-04-02,52585.97969193263,51529.86817230543,56802.550654443716,52585.97969193263,52585.97969193263,1995.3927027340903,1995.3927027340903,1995.3927027340903,1995.3927027340903,1995.3927027340903,1995.3927027340903,0.0,0.0,0.0,54581.37239466672
93,2020-04-03,54049.91098363667,53986.807382636354,59397.39742780108,54049.91098363667,54049.91098363667,2776.808837422121,2776.808837422121,2776.808837422121,2776.808837422121,2776.808837422121,2776.808837422121,0.0,0.0,0.0,56826.71982105879
94,2020-04-04,55363.50369690934,57515.17303905957,62615.13179128232,55363.50369690934,55363.50369690934,4688.981465962775,4688.981465962775,4688.981465962775,4688.981465962775,4688.981465962775,4688.981465962775,0.0,0.0,0.0,60052.485162872115
95,2020-04-05,56677.09641018202,57369.19036843335,62366.54482958294,56677.09641018202,56677.09641018202,2834.69514707991,2834.69514707991,2834.69514707991,2834.69514707991,2834.69514707991,2834.69514707991,0.0,0.0,0.0,59511.79155726193
96,2020-04-06,57990.68912345468,50794.67550419626,56613.50931000701,57990.68912345468,57990.68912345468,-4367.964914433254,-4367.964914433254,-4367.964914433254,-4367.964914433254,-4367.964914433254,-4367.964914433254,0.0,0.0,0.0,53622.72420902143
97,2020-04-07,59304.28183672735,50329.43235998265,56098.02305433214,59304.28183672734,59304.28183672734,-6268.784123028219,-6268.784123028219,-6268.784123028219,-6268.784123028219,-6268.784123028219,-6268.784123028219,0.0,0.0,0.0,53035.49771369913
98,2020-04-08,60617.87455000001,56419.371791576516,61614.26000224053,60617.87455000001,60617.87455000001,-1659.1291157396329,-1659.1291157396329,-1659.1291157396329,-1659.1291157396329,-1659.1291157396329,-1659.1291157396329,0.0,0.0,0.0,58958.745434260374
99,2020-04-09,61931.46726327268,60787.304417403,66074.06736144781,61931.46726327269,61931.46726327269,1995.3927027348834,1995.3927027348834,1995.3927027348834,1995.3927027348834,1995.3927027348834,1995.3927027348834,0.0,0.0,0.0,63926.85996600756
